,영화명,대표국적,배급사,감독,배우1,배우2,배우3
65,썸,한국,(주)시네마서비스,장윤현,고수,김효인,신두현
66,착신아리,일본,(주)쇼박스,미이케 다카시,시바사키 코우,후키이시 카즈에,츠츠미 신이치
67,맹부삼천지교,한국,CJ ENM,김지영,손창민,조재현,소이현
68,인형사,한국,롯데쇼핑㈜롯데시네마,정용기,임은경,김유미,심형탁
69,폴라 익스프레스,미국,워너브러더스 코리아(주),로버트 저메키스,톰 행크스,노나 M. 게이,
70,포가튼,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,조셉 루벤,크리스토퍼 코바레스키,줄리안 무어,
71,나두야 간다,한국,롯데쇼핑㈜롯데시네마,정연원,권용운,안관수(추천),손창민
72,캣우먼,미국,워너브러더스 코리아(주),피토프,할리 베리,벤자민 브랫,
73,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,한국,(주)시네마서비스,강석범,김주혁,엄정화,김가연
74,에이리언 VS 프레데터,미국,이십세기폭스필름코퍼레이션,폴 W.S. 앤더슨,라울 보바,산나 라단,랜스 헨릭슨
75,쓰리 몬스터,한국,CJ ENM,박찬욱,강혜정,하세가와 쿄코,이병헌
76,스텝포드 와이프,미국,CJ ENM,프랭크 오즈,니콜 키드먼,매튜 브로데릭,베트 미들러
77,동해물과 백두산이,한국,(주)쇼박스,안진우,정준호,공형진,류현경
78,까불지마,한국,영화사청어람(주),오지명,오지명,최불암,노주현
79,디 아이2,기타,쇼이스트(주),대니 팽,원려기,서기,
80,옹박 - 무에타이의 후예,기타,(주)쇼박스,프라챠 핀카엡,토니 자,,
81,피터 팬,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,P.J. 호건,레이첼 허드-우드,제이슨 아이삭스,제레미 섬터
82,사랑할 때 버려야 할 아까운 것들,미국,워너브러더스 코리아(주),낸시 마이어스,,,
83,킬 빌2,미국,CJ ENM,쿠엔틴 타란티노,우마 서먼,데이빗 캐러딘,
84,내셔널 트레져,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,존 터틀타웁,다이앤 크루거,니콜라스 케이지,
85,택시: 더 멕시멈,미국,이십세기폭스필름코퍼레이션,팀 스토리,지젤 번천,지미 펄론,
86,페이첵,미국,CJ ENM,오우삼,벤 애플렉,우마 서먼,아론 에크하트
87,프린세스 다이어리 2,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,게리 마샬,줄리 앤드류스,앤 해서웨이,
88,어깨동무,한국,CJ ENM,조진규,김아중,최령,이성진
89,헬보이,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,길예르모 델 토로,셀마 블레어,론 펄먼,
90,라이어,한국,CJ ENM,김경형,주진모,공형진,서영희
91,새벽의 저주,미국,UIP코리아,잭 스나이더,사라 폴리,빙 라메스,제이크 웨버
92,"DMZ, 비무장지대",한국,영화사청어람(주),이규형,김정훈,정채경,박건형
93,바람의 전설,한국,(주)시네마서비스,박정우,이성재,박솔미,김수로
94,"[통합]회고전, 기획전 등",기타,,,,,
95,하나와 앨리스,일본,(주)미디어캐슬,이와이 슌지,아오이 유우,스즈키 안,
96,저지 걸,미국,CJ ENM,케빈 스미스,벤 애플렉,리브 타일러,
97,퀸카로 살아남는 법,미국,UIP코리아,마크 S. 워터스,린제이 로한,레이첼 맥아덤즈,
98,발레 교습소,한국,CJ ENM,변영주,윤계상,김민정,이준기
99,데스티네이션 2,미국,UIP코리아,데이비드 R. 엘리스,마이클 랜디스,A.J. 쿡,알리 라터
100,쉘 위 댄스,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,피터 첼섬,제니퍼 로페즈,리차드 기어,수잔 서랜든
101,화이트 칙스,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,키넌 아이보리 웨이언스,숀 웨이언스,마론 웨이언스,
102,엑소시스트: 더 비기닝,미국,워너브러더스 코리아(주),레니 할린,이자벨라 스코럽코,스텔란 스카스가드,
103,빅 피쉬,미국,(주)팝엔터테인먼트,팀 버튼,이완 맥그리거,알버트 피니,빌리 크루덥
104,해피 에로 크리스마스,한국,(주)튜브엔터테인먼트,이건동,김선아,차태현,박영규
105,사랑에 빠지는 아주 특별한 법칙,기타,코리아픽쳐스(주),피터 호윗,피어스 브로스넌,줄리안 무어,
